energy_per_atom,energy,density,formation_energy_per_atom,total_magnetization,band_gap,sgr,mp_id,formula,URL,cell_volume
-3.527191488,-17.63595744,4.033641405,-0.037168102,0.0014291,0,221,mp-1213745,CoNF3,https://materialsproject.org/materials/mp-1213745,53.49070286
-4.304158006,-21.52079003,3.507124904,-0.663863065,1.0000018,0,221,mp-1185261,LiNiO3,https://materialsproject.org/materials/mp-1185261,53.80229495
-4.76334343,-33.34340401,1.994337518,-0.192391166,3.5636764,0,71,mp-28637,Li4FeN2,https://materialsproject.org/materials/mp-28637,92.93981146
-5.40122571,-16.20367713,3.399133658,-0.188325271,0,0,187,mp-29719,LiNiN,https://materialsproject.org/materials/mp-29719,38.90613581
-5.122989405,-20.49195762,4.042914866,-0.210906305,1.5730418,0,221,mp-983590,Be3Fe,https://materialsproject.org/materials/mp-983590,34.04178603
-3.536298008,-14.14519203,1.741690248,0.537077506,3.6866317,0,65,mp-1209929,NiO3,https://materialsproject.org/materials/mp-1209929,101.7204794
-4.618231037,-27.70938622,3.374533739,-0.100342133,1.5488059,0,216,mp-1025010,Be5Fe,https://materialsproject.org/materials/mp-1025010,49.65373468
-5.571581528,-27.85790764,3.143451028,-1.972460218,4,1.7921,71,mp-755094,Li2FeO2,https://materialsproject.org/materials/mp-755094,53.73701094
-4.14788821,-53.92254673,2.611691239,-0.054516134,0.0624866,0,139,mp-1104104,Be12Fe,https://materialsproject.org/materials/mp-1104104,104.2672117
-7.322247133,-21.9667414,5.89620579,-0.049952448,0.7834413,0,191,mp-569376,2-Feb,https://materialsproject.org/materials/mp-569376,21.81690775
-5.518421838,-27.59210919,3.650180837,-1.919300528,4.0000005,2.7179,164,mp-754868,Li2FeO2,https://materialsproject.org/materials/mp-754868,46.27706676
-5.355173873,-21.42069549,4.890085123,-1.59836731,0,0.8322,166,mp-18921,NaCoO2,https://materialsproject.org/materials/mp-18921,38.6847125
-5.239538173,-20.95815269,4.379000011,-1.48273161,4.0000001,0.97,160,mp-1221066,NaCoO2,https://materialsproject.org/materials/mp-1221066,43.19971149
-5.226320853,-20.90528341,4.377400371,-1.469514291,4.0000003,0.9607,164,mp-1101661,NaCoO2,https://materialsproject.org/materials/mp-1101661,43.21549803
-6.05391022,-18.16173066,3.897566477,-1.327356469,4,0,164,mp-1224855,FeO2,https://materialsproject.org/materials/mp-1224855,37.42541922
-6.05817754,-18.17453262,4.06496226,-1.331623789,3.9999996,0,12,mp-1062652,FeO2,https://materialsproject.org/materials/mp-1062652,35.88423459
-4.528391958,-18.11356783,4.213287817,-0.286702455,9.00E-07,0,139,mp-865168,Be3Ni,https://materialsproject.org/materials/mp-865168,33.78784655
-5.632450786,-28.16225393,3.402823612,-1.500623871,4,2.28,5,mp-626689,Fe(HO)2,https://materialsproject.org/materials/mp-626689,43.85049705
-5.935350373,-17.80605112,2.859742164,-1.208796623,2.0000001,0.8703,166,mvc-14925,FeO2,https://materialsproject.org/materials/mvc-14925,51.00741638
-5.645019938,-28.22509969,3.443761717,-1.513193023,3.9999998,2.3352,164,mp-626680,Fe(HO)2,https://materialsproject.org/materials/mp-626680,43.32921933
-7.293810752,-65.64429677,1.481562336,-0.733416371,1,0,215,mp-510741,Co(CO)4,https://materialsproject.org/materials/mp-510741,191.6276639
-2.784146958,-11.13658783,2.401551851,0.09139665,3.00E-07,0,139,mp-1185204,Li3Ni,https://materialsproject.org/materials/mp-1185204,54.98115165
-4.375119888,-17.50047955,5.48826774,0.169640326,0.0005712,0,221,mp-1018061,FeH3,https://materialsproject.org/materials/mp-1018061,17.81144406
