energy_per_atom,energy,density,formation_energy_per_atom,total_magnetization,band_gap,sgr,num_sites,cell_volume,weight,mp_id,formula,URL,tsne_cry_0,tsne_cry_1,tsne_xrd_0,tsne_xrd_1
-5.451798765,-87.22878024,5.894777859296689,-2.060132158750001,0.0,0.0,123,16,246.21220434408215,874.0332000000002,mp-22601,Ba2Ca2Cu3HgO8,https://materialsproject.org/materials/mp-22601,7.415409268145963,-66.0216190750553,9.7249687008531,-46.79062844896695
-5.5106127125,-110.21225425,5.687938699646648,-2.069558555125,0.0002785,0.0,123,20,294.7593660027302,1009.656,mp-1228579,Ba2Ca3Cu4HgO10,https://materialsproject.org/materials/mp-1228579,7.795945043295922,-65.79856579149315,9.876182035329023,-46.592253972694294
-5.3396436283333335,-64.07572354,6.158074508568789,-2.030289607291667,1.9e-06,0.0,123,12,199.1140729193597,738.4104000000002,mp-6879,Ba2CaCu2HgO6,https://materialsproject.org/materials/mp-6879,7.0994346785447835,-66.06621298500605,9.360142220909523,-47.30761079740236
-5.442348586122448,-266.67508072,5.989164022422831,-2.033646294464286,0.0232625,0.0,12,49,731.4320269881042,2638.099,mp-1228760,Ba6Ca6Cu9Hg3O25,https://materialsproject.org/materials/mp-1228760,8.674743117222068,-64.99994839701314,10.01031384621423,-46.23813818764796
-5.7719720233333325,-173.15916069999997,6.266669651313671,-2.0935188596666667,0.00014125,0.0,37,30,470.79757092330635,1776.7320000000002,mp-1218930,Sr2CaCu2(BiO4)2,https://materialsproject.org/materials/mp-1218930,6.625565579534433,-67.33310376671615,-13.90904639338648,-50.591638276703364
-5.338668143442623,-325.65875675,6.439178896275983,-2.0142803327254097,0.0013026,0.0,2,61,956.2343601895712,3708.0514,mp-1229139,Ba10Ca5Cu10Hg5O31,https://materialsproject.org/materials/mp-1229139,8.486375425487171,-65.12693888817316,9.032675598712911,-47.80280136703654
-5.731102521666667,-171.93307565,6.18031165002748,-2.031433262333333,7.5e-07,0.0,66,30,451.8286962964891,1681.648,mp-1208800,SrCa2Cu2(BiO4)2,https://materialsproject.org/materials/mp-1208800,6.755020017438715,-67.44210236882077,-0.579110877450451,-48.58259387731374
-5.338286025306123,-261.57601524,6.355861907165897,-2.010216470178572,0.0033531999999999998,0.0,12,49,775.8514718082481,2969.6409999999996,mp-1228371,Ba8Ca4Cu8Hg4O25,https://materialsproject.org/materials/mp-1228371,8.495975179039313,-65.12242408514065,9.003917904050072,-47.81713571250799
-5.521831287826087,-127.00211962,6.214213818617921,-1.969478182608696,0.0,0.0,139,23,333.9752853208769,1249.8314,mp-556574,Ba2Ca3Tl2(CuO3)4,https://materialsproject.org/materials/mp-556574,9.320832346025904,-64.92073991774112,10.09065281530136,-46.01796268261529
-5.8863151073913045,-135.38524747,7.997073557009938,-1.601637832826087,0.0013995,0.0,139,23,349.60667792587884,1683.6884,mvc-129,Ba2Mg3Tl2(WO3)4,https://materialsproject.org/materials/mvc-129,6.5526771749045025,-67.02784305255011,1.969823799285017,-50.4972140191485
-6.518703136666668,-78.22443764,5.722473808963684,-2.302415344270834,1.3236607,0.0,6,12,201.06937557184128,692.9161,mvc-2978,Ba2TlV2O7,https://materialsproject.org/materials/mvc-2978,6.55389558158455,-65.62627622079388,8.841720239777947,-48.77362782802539
-6.170924596333332,-185.12773789,6.881972198935322,-2.1947988089999995,0.0005824,0.0,66,30,452.2677311058199,1874.3877,mp-1208863,Sr2YCu2(BiO4)2,https://materialsproject.org/materials/mp-1208863,9.169997894541977,-67.95714490360037,11.818010579869153,-46.353137122712795
-5.692472631666668,-68.30967158,6.28124925380754,-2.1795172658333333,3.9200000000000004e-05,0.0,123,12,195.05440578340486,737.82387,mp-1208803,Sr2LaCu2HgO6,https://materialsproject.org/materials/mp-1208803,8.77186947142702,-68.06581666795857,10.776042644989504,-48.42698160784276
-5.381235702666666,-161.43707108,6.7961249728235,-1.8748832676666671,0.0,0.0,139,30,478.20778204863467,1957.1716,mp-573069,Ba2CaTl2(CuO4)2,https://materialsproject.org/materials/mp-573069,7.570805408461361,-66.05692189131916,7.4976350928150515,-46.989718071715906
-5.013974324482758,-145.40525541,5.803070818089867,-1.478579599827586,2.4126362,0.0,25,29,465.80152741727835,1627.8324,mvc-15237,Ba4CaCu6(HgO8)2,https://materialsproject.org/materials/mvc-15237,6.580489629123819,-64.02371016039187,8.665710410432835,-47.50873222471111
-5.42661103060606,-179.07816401,6.1284698048826005,-2.0096490126893936,0.11973339999999999,0.0,139,33,477.98230607174315,1764.0658,mp-1228265,Ba4Ca4Cu6Hg2O17,https://materialsproject.org/materials/mp-1228265,8.832625273667256,-64.86362927528612,10.019988208183939,-46.12098777982541
-5.957677845384616,-77.44981199,6.199589067925343,-2.1098982539423083,6.0000315,0.03679999999999994,1,13,197.10325368300224,735.8810286,mvc-2977,Ba2AlTlCo2O7,https://materialsproject.org/materials/mvc-2977,6.826915347212242,-66.92419316519384,1.642977194038537,-33.64056809566392
-5.756699469375,-276.32157453,6.209424752448554,-2.1765782387500003,0.0007088999999999999,0.0,12,48,754.7354916073659,2822.2602,mp-1218674,Sr8Pr4Cu9(HgO8)3,https://materialsproject.org/materials/mp-1218674,9.059303130725516,-68.13716493803176,39.301596258624265,-51.20668087672266
-5.329573453783784,-197.19421779,6.406033824630541,-1.99543399570946,0.0004513999999999999,0.0,12,37,578.3680854598526,2231.2306,mp-1228161,Ba6Ca3Cu6Hg3O19,https://materialsproject.org/materials/mp-1228161,8.552848975549763,-65.05524409462411,9.140738266969453,-47.82327854739617
