energy_per_atom,energy,density,formation_energy_per_atom,total_magnetization_uB,total_magnetization_T,band_gap,sgr,num_sites,cell_volume,weight,mp_id,formula,URL,tsne_xrd_lin1_0,tsne_xrd_lin1_1,tsne_xrd_lin2_0,tsne_xrd_lin2_1
-6.92153530631579,-263.01834164,8.919187968952887,-0.06350362236842133,25.2135278,0.6058309115735617,0.0,194,38,485.0199626868257,2605.16863,mp-1200096,Sm2Co17,https://materialsproject.org/materials/mp-1200096,-56.65583919957632,-23.349399492381057,-58.040875392333156,-12.997071007186225
-7.065492355000001,-268.48870949,8.763506832477272,-0.07925286868421129,23.13101785,0.5548177704288876,0.0,194,38,485.87192885107135,2564.19263,mp-2216,Ce2Co17,https://materialsproject.org/materials/mp-2216,-56.80273274189389,-23.395375769316722,-58.314208368003065,-13.019345301171429
-7.922327966052633,-301.04846271,8.993305065660659,-0.07829002500000115,25.2539845,0.6054405095514128,0.0,194,38,486.11146179544863,2632.72863,mp-1201816,Gd2Co17,https://materialsproject.org/materials/mp-1201816,-56.59991732557497,-23.24949025095873,-54.60240501090019,-8.344888510757732
-7.185846405526315,-273.06216341,8.666237015001057,-0.09596423499999973,18.14304385,0.4330459323490221,0.0,164,38,488.26277400263467,2548.2092399999997,mp-1227655,Ce2VCo16,https://materialsproject.org/materials/mp-1227655,-56.533033835423744,-23.41939387136829,-54.540340844485215,-8.800870543819528
-6.899854018333333,-206.99562055,8.45770838737563,-0.058678864999999775,30.919406199999997,0.8905976085256287,0.0,65,30,404.6010893521441,2060.7754136,mp-1227640,Ce4AlCo25,https://materialsproject.org/materials/mp-1227640,-56.3948306112241,-22.785264645541268,-55.131075683061276,-8.314958744944802
-6.32317849763158,-240.28078291,8.771553226999572,-0.06993519868421129,5.29842525,0.12528684702009646,0.0,194,38,492.85453760490236,2603.4316,mp-1201182,Eu2Ni17,https://materialsproject.org/materials/mp-1201182,-56.29650799770274,-23.423998994747794,-54.56586935337209,-8.950752044367885
-5.8165023599999985,-221.02708968,8.826559620963108,-0.14489439657894745,0.00275865,6.642837911415647e-05,0.0,194,38,483.9721548763556,2572.5436,mp-570596,Nd2Ni17,https://materialsproject.org/materials/mp-570596,-56.886836433992755,-23.391389230196687,-58.57910586989314,-13.375778331076985
-6.944166909210527,-263.87834255,9.217538416523396,-0.10069178552631654,25.47748205,0.6188070657374155,0.0,194,38,479.82035515156883,2663.4499100000003,mp-1023,Ho2Co17,https://materialsproject.org/materials/mp-1023,-57.094262083138325,-23.1430755301626,-58.63841498396946,-13.642018079256012
-6.711070232894738,-255.02066885,8.892888223382387,-0.01725849105263116,26.1652365,0.6205431819870983,0.0,194,38,491.39426523694016,2631.62393,mp-1215870,YbPrCo17,https://materialsproject.org/materials/mp-1215870,-56.60923044931018,-23.364635412411605,-54.86495619538642,-9.185063833276603
-6.592563492631579,-250.51741272,9.281953885457064,-0.03222963421052626,49.8637233,1.190637389390968,0.0,156,38,488.0705631430274,2728.179435,mp-1216133,Yb4ZrCo33,https://materialsproject.org/materials/mp-1216133,-56.70297445360158,-23.27516674209363,-54.78921606532463,-8.855421166861408
-6.889661468421052,-261.8071358,8.695256093113553,-0.06187998578947354,21.77817065,0.5164422161764872,0.0,164,38,491.44745226680743,2573.41824,mp-1227675,Ce2Co16Cu,https://materialsproject.org/materials/mp-1227675,-56.48018851186245,-23.4177901338181,-54.686124075886596,-8.83706590075502
-6.940065323157895,-263.72248228,9.059164497692887,-0.0913898936842103,25.30538565,0.6095639708129645,0.0,194,38,483.8058310211241,2639.43003,mp-1199370,Tb2Co17,https://materialsproject.org/materials/mp-1199370,-56.71256616120871,-23.198386094461785,-55.05526182117174,-8.08899951101896
-6.192768670263157,-235.32520947,10.010375820134547,-0.24275983342105326,0.00510585,0.0001226901869818052,0.01909999999999989,194,38,484.9932018426075,2923.72784,mp-30810,Th2Ni17,https://materialsproject.org/materials/mp-30810,-56.68472881344214,-22.991824266194246,-54.96077564240843,-8.12516132432579
-6.94655129,-263.96894902,9.28113690774228,-0.10419728105263236,25.47695035,0.6208922534197503,0.0,194,38,478.1989595632194,2672.76463,mp-2531,Er2Co17,https://materialsproject.org/materials/mp-2531,-57.152698054803764,-23.085297773355546,-58.58790144683049,-13.657594014779495
-7.209310750526316,-136.97690426,8.493565405758076,-0.06453735157894644,28.6487081,1.3299030784951151,0.0,160,19,251.05130234404663,1284.113535,mp-1220100,NdSmFe4Co13,https://materialsproject.org/materials/mp-1220100,-55.390542547995004,-24.445750316380497,-57.33488722182253,-11.973536460950168
-6.9416722397368416,-263.78354511,9.11326358252204,-0.0953147881578936,25.2781977,0.6092448472805702,0.0,194,38,483.53917910725113,2653.72863,mp-569638,Dy2Co17,https://materialsproject.org/materials/mp-569638,-57.01602821877345,-23.17558321554462,-58.680698249219866,-13.767500176480127
-5.573324031052632,-211.78631318,9.469044545490943,-0.3607274884210528,0.00012209999999999999,2.9382317857916888e-06,0.0,194,38,484.2917143604892,2761.6212,mp-1200461,Lu2Ga3Ni14,https://materialsproject.org/materials/mp-1200461,-56.6283002300684,-23.16516708270337,-55.140196705144824,-8.114735168609053
-6.74279191,-40.45675146,7.752281023097825,-0.1838118883333332,4.7008184,0.6676178956018209,0.0,191,6,82.05837872014494,383.092235,mp-1215948,YCo3Ni2,https://materialsproject.org/materials/mp-1215948,-53.96597719277994,-18.168828648237728,-55.42031577525346,-14.050845415958172
