energy_per_atom,energy,density,formation_energy_per_atom,total_magnetization_uB,total_magnetization_T,band_gap,sgr,num_sites,cell_volume,weight,mp_id,formula,URL,tsne_cry_lin1_0,tsne_cry_lin1_1,tsne_cry_lin2_0,tsne_cry_lin2_1
-5.684820185,-22.73928074,4.931482516987247,-1.7856208418750017,0.0,0.0,0.6652,166,4,32.95599824178493,97.87299499999999,mp-22526,LiCoO2,https://materialsproject.org/materials/mp-22526,-74.53778532085585,-25.70852463806753,-8.139285405354281,2.2241420300302543
-5.662314154285713,-317.08959264,4.805378197637887,-1.8279658715178573,1.0,0.025251171844674087,0.0,2,56,461.5257004406209,1335.593735,mp-769537,Li14MgCo13O28,https://materialsproject.org/materials/mp-769537,-74.48609445532027,-25.67807902669186,-8.604250342815693,-0.5045126942092143
-5.48005367375,-87.68085878,4.855366257937684,-1.6822129468749996,1.0000002000000001,0.08709508429927923,0.0,166,16,133.80855185037223,391.252185,mp-867537,Li4Co3NiO8,https://materialsproject.org/materials/mp-867537,-74.48642642426246,-25.6994608102144,-8.604250342815693,-0.5045126942092143
-5.4027381058333335,-64.83285727,4.195778818919734,-2.248518079781667,0.0,0.0,0.6811999999999996,164,12,98.00102899611821,247.6247964,mp-764063,Li2CoO2F,https://materialsproject.org/materials/mp-764063,-58.443399410664604,31.659289648739932,-5.839088522270992,-2.502156248970285
-5.973717732000001,-89.60576598,4.7198411459813565,-1.7922762913973334,3.0000005,0.2611311410939332,0.3296999999999999,12,15,133.8875172001603,380.55583,mp-758163,Li3MnCo3O8,https://materialsproject.org/materials/mp-758163,-74.55664459356676,-25.471799097668104,-8.604250342815693,-0.5045126942092143
-5.705891076666666,-85.58836615,4.809031245153899,-1.6739432873333338,0.9999709000000001,0.08776459947138968,0.0,166,15,132.78389817153786,384.55098,mp-850808,Li3(CoO2)4,https://materialsproject.org/materials/mp-850808,-74.58186193016259,-25.23820738560262,-8.604250342815693,-0.5045126942092143
-5.797088849250001,-231.88355397,4.699120572903617,-1.861076766375001,14.9998445,0.5102692344477499,0.0,10,40,342.5822048051051,969.465365,mp-760848,Li10Fe3Co7O20,https://materialsproject.org/materials/mp-760848,-74.36905099340099,-25.92881771259067,-3.3814495096952597,-0.5691304318849586
-5.973895771333332,-89.60843657,4.690390695279786,-1.7924543307306664,3.0000002999999995,0.2595017406091793,0.08630000000000004,166,15,134.72818229205276,380.55583,mp-774219,Li3MnCo3O8,https://materialsproject.org/materials/mp-774219,-74.57452990217448,-25.580958967009806,-4.602991576558504,-0.9039337087938134
-5.482923534096386,-455.08265333,4.889874609199031,-1.5606817338855423,0.001056,1.769199993663173e-05,0.0,2,83,695.6077573989653,2048.391895,mp-532301,Li20(CoO2)21,https://materialsproject.org/materials/mp-532301,-74.44649737188543,-25.373146765806712,-1.4188616992079328,0.11010028616086892
-5.706853708333332,-68.4822445,4.826838048392,-1.7667513210416659,1.0000001,0.11660010537898526,0.5348000000000002,12,12,99.94901719931528,290.53078999999997,mp-761602,Li3Fe(CoO3)2,https://materialsproject.org/materials/mp-761602,-74.31487318205954,-25.859614700867507,-1.4926043987590671,0.061553435111996437
-5.602707979375,-89.64332767,4.426974164279542,-1.9304873475000008,0.9999199000000001,0.08705586972927461,0.0,166,16,133.8580766375684,356.863785,mp-754576,Li4MgCo3O8,https://materialsproject.org/materials/mp-754576,-74.294883302838,-25.770915590093907,-5.973804744995271,-2.1955740621878275
-5.71471844263158,-217.15930082,4.800465324539613,-1.6978009438157895,3.0000001,0.1050911980862924,0.0947,2,38,332.68433626931744,961.759755,mp-764865,Li8FeCo9O20,https://materialsproject.org/materials/mp-764865,-74.59551845018315,-25.150397201165976,-4.581165477088028,-0.7678605837144282
-5.635070210625,-90.16112337,4.624052480027494,-1.7051935843750003,8.9846963,0.7507079925410097,0.0815999999999999,166,16,139.47930977470898,388.403785,mp-765603,Li4FeCo3O8,https://materialsproject.org/materials/mp-765603,-74.39125197714753,-26.18001597655768,-4.325114801735209,-1.233580268484233
-5.632852285499999,-225.31409142,4.645630075568646,-1.7213820291250002,20.9999999,0.7017814356951217,0.1166999999999998,1,40,348.73444438713915,975.641755,mp-764262,Li10FeCo9O20,https://materialsproject.org/materials/mp-764262,-74.41414401297763,-26.092052677472463,-4.584871790467312,-0.9661518337053436
-5.624497369135803,-455.5842869,4.990212993183826,-1.7087943840740731,1.0,0.01736889613558747,0.0,82,81,670.9732548104456,2016.393095,mp-685270,Li20Co21O40,https://materialsproject.org/materials/mp-685270,-74.09763936773271,-25.605106228294822,-0.652288735094801,0.6498911438214129
-5.6225713807272735,-309.24142594,4.746108945298579,-1.7476774011818184,3.0000002,0.0762059696574716,0.0,2,55,458.78553616782403,1311.2887349999999,mp-777836,Li14Co13O28,https://materialsproject.org/materials/mp-777836,-74.27046517019221,-25.511849958951203,-0.9382387731903671,0.5493701325777323
-5.960064705,-71.52077646,4.642932150258217,-1.873998297788333,3.9999957000000004,0.4500345936171639,0.019699999999999832,12,12,103.58361254649635,289.623835,mp-761633,Li3Mn(CoO3)2,https://materialsproject.org/materials/mp-761633,-74.51538453682844,-25.93321054638937,-8.604250342815693,-0.5045126942092143
-5.69321682,-62.62538502,4.82132445227102,-1.6129968684090903,0.9982821,0.11782939184399376,0.0,12,11,98.73635153859064,286.67798500000004,mp-758539,Li2(CoO2)3,https://materialsproject.org/materials/mp-758539,-74.79430038992491,-24.64485370812477,-8.604250342815693,-0.5045126942092143
