energy_per_atom,energy,density,formation_energy_per_atom,total_magnetization_uB,total_magnetization_T,band_gap,sgr,num_sites,cell_volume,weight,mp_id,formula,URL,tsne_xrd_lin1_0,tsne_xrd_lin1_1,tsne_xrd_lin2_0,tsne_xrd_lin2_1
-4.789888063636363,-210.75507480000002,4.899231978403995,-1.1131810777272728,7.0000004,0.20131368293119775,0.0,12,44,405.23056794616656,1195.5868,mp-758593,Li7Ni13O24,https://materialsproject.org/materials/mp-758593,23.26625822979421,-71.23814288118975,-9.801433946738824,-75.54950466604598
-4.769368051428573,-66.77115272,4.6981984382051225,-1.0490614264285725,1.00000045,0.08754291314330984,0.0,74,14,133.12408278909848,376.6508,mp-752531,Li(NiO2)2,https://materialsproject.org/materials/mp-752531,24.81429600283742,-69.48773679768857,-14.77022143846899,-72.48656004318825
-5.1883226475,-207.5329059,4.814492123255096,-1.5323839833750001,2.4682498,0.08533829245227413,0.0,10,40,337.07193122178484,977.29118,mp-769553,Li5Co2Ni3O10,https://materialsproject.org/materials/mp-769553,24.91284738419169,-70.31468767192558,-7.389019712415617,-74.31457312211042
-5.9854093446666665,-89.78114017,4.621340732415859,-1.7942809206666672,2.0004574,0.17182156869151494,0.0,166,15,135.6841302980005,377.613885,mp-849768,Li3CrCo3O8,https://materialsproject.org/materials/mp-849768,23.549663687817002,-72.46978078622107,-10.161852841474007,-73.65705700914506
-5.5265517059375,-176.84965459,4.452348259950796,-1.7313530406249995,14.000160500000002,0.5984639495446511,0.0,12,32,272.62924929291586,730.991765,mp-1175418,Li9Co7O16,https://materialsproject.org/materials/mp-1175418,23.05841480446248,-71.20239656071745,-9.922772481593332,-75.61757639570729
-6.448902061666666,-77.38682474,4.3331376368016405,-1.460504116906667,8.9999999,0.7786541761188324,0.8303999999999998,166,12,134.70239421360756,351.5027350000001,mp-757044,Mn3NiO8,https://materialsproject.org/materials/mp-757044,24.622831790454697,-69.96758241029677,-7.772982888071492,-72.68748896621159
-4.8584825658333335,-233.20716316,4.9347934407072875,-1.3291701079166671,11.000001199999998,0.31141464904006705,0.0,12,48,411.652845741822,1223.3508,mp-758517,Li11Ni13O24,https://materialsproject.org/materials/mp-758517,22.96776794748623,-71.03315630197784,-10.54965173957788,-75.19807247655463
-4.7829860771428585,-66.96180508,4.633670527544228,-1.0626794521428582,1.00000045,0.08634054560762443,0.0,227,14,134.97795195609362,376.6508,mp-25388,Li(NiO2)2,https://materialsproject.org/materials/mp-25388,24.06591516553591,-69.51512557121302,-8.898903723263809,-73.29254010173214
-5.46349639125,-174.83188452,4.17177119451064,-1.9098615899999996,4.9999998,0.21911848847413085,0.6026000000000002,2,32,265.9306475585921,668.0974,mp-867679,Li9Si2Ni5O16,https://materialsproject.org/materials/mp-867679,25.36323319799656,-70.78815976447163,-6.250455314292102,-74.4558864876769
-5.8076559755,-232.30623902,4.712431091440831,-1.859372979375,7.998760300000001,0.27374700140434943,1.665,6,40,340.5263625104969,966.37717,mp-769566,Li5Fe2Co3O10,https://materialsproject.org/materials/mp-769566,23.20662737729123,-70.90610611587854,-8.52698462048445,-75.42352075503801
-5.797088849250001,-231.88355397,4.699120572903617,-1.861076766375001,14.9998445,0.5102692344477499,0.0,10,40,342.5822048051051,969.465365,mp-760848,Li10Fe3Co7O20,https://materialsproject.org/materials/mp-760848,22.81913011820737,-71.26501788799176,-9.511380478299095,-75.7778231445574
-5.619281881333333,-84.28922822,4.725846294093653,-1.5873340920000003,4.9999557999999995,0.4312411266876777,0.0,166,15,135.12117733459328,384.55098,mp-759191,Li3(CoO2)4,https://materialsproject.org/materials/mp-759191,24.49559246825676,-69.387770489962,-14.97180956395293,-72.25556130029183
