energy_per_atom,energy,density,formation_energy_per_atom,total_magnetization_uB,total_magnetization_T,band_gap,sgr,num_sites,cell_volume,weight,mp_id,formula,URL,tsne_xrd_lin1_0,tsne_xrd_lin1_1,tsne_xrd_lin2_0,tsne_xrd_lin2_1
-2.4627453341666667,-29.55294401,2.7341995626987585,0.01820776155582908,0.9999913,0.02375955598437509,0.0,62,12,490.4958404887754,807.6374480000001,mp-1101799,Rb2P,https://materialsproject.org/materials/mp-1101799,9.012944557496557,18.57503112973718,37.780502400525016,0.8520901024761941
-5.554081361470589,-188.83876629,6.837629993601958,-1.8111620769117651,0.1849941,0.004822828455674258,0.0,99,34,447.02672793697235,1840.7296,mp-1218932,Sr2CaCu2(BiO5)2,https://materialsproject.org/materials/mp-1218932,-5.195883615567616,21.235485646262067,-11.456331300310236,45.21746996699849
-3.725062323,-37.25062323,5.216463238876601,-2.052432163047333,0.0,0.0,1.4951,148,10,146.6036693696773,460.5448192,mp-998537,ZnAgF3,https://materialsproject.org/materials/mp-998537,-9.197611219314384,21.936301753180146,1.2388135872193309,18.43478446498536
-4.2414296671428575,-29.69000767,3.294365020653122,-1.960653485064828,5.0000002,0.24992005719294375,1.783,139,7,233.15586131058484,462.5609488,mp-1025252,Cs2MnCl4,https://materialsproject.org/materials/mp-1025252,1.0893173693200215,8.343322404815583,5.65125657251818,14.103804414380047
-5.4078125965217385,-248.75937944,3.866449834324283,-0.6730324588608695,0.007942,9.288827556404178e-05,0.014199999999999768,136,46,996.4291172555569,2320.116,mp-1246141,Sr11(SiN5)2,https://materialsproject.org/materials/mp-1246141,4.5643160283493325,23.18482851906928,2.862605004453287,25.064240953014817
-7.933279245714287,-111.06590944,5.0792535968172094,-3.4367283398809527,0.0,0.0,2.2874000000000003,129,14,171.99409356209915,526.0952,mp-10520,LiNdTiO4,https://materialsproject.org/materials/mp-10520,-0.6062024024679914,25.20766670124219,-7.358846033438144,30.51786410831077
-5.3396436283333335,-64.07572354,6.158074508568789,-2.030289607291667,1.9e-06,1.1120621834113713e-07,0.0,123,12,199.1140729193597,738.4104000000002,mp-6879,Ba2CaCu2HgO6,https://materialsproject.org/materials/mp-6879,-6.6441131023714375,15.712194398937118,1.456052165446751,22.188883097026032
-5.35173894,-26.7586947,7.229821175264615,-0.7046466060000001,0.3395634,0.041403064385693716,0.0,119,5,95.57973344982616,416.14461580000005,mp-1226648,CeAl3Pt,https://materialsproject.org/materials/mp-1226648,-8.557803193206556,10.88478296509369,-27.85417678644659,29.63457468953148
-4.134711589,-41.34711589,5.7524701939024006,-0.2319167894895827,0.0,0.0,0.8468,9,10,260.99640635301256,904.1486,mp-29959,TlBSe3,https://materialsproject.org/materials/mp-29959,4.350322969994538,21.635972735812558,30.05609618112133,1.2959725631295451
-8.418449884375,-134.69519815,5.063778988123035,-3.4783710516361364,0.0,0.0,1.6396000000000002,99,16,233.45401361728656,711.91312,mp-1219633,RbLa2Ti2NbO10,https://materialsproject.org/materials/mp-1219633,6.4155983210866845,24.297846941963204,-2.798912865997007,44.58225366001252
-5.535589168055554,-199.28121005,6.4522132025520555,-1.9881990685069448,1.7e-06,3.833670630386599e-08,0.0,139,36,516.7869653777112,2008.0345,mp-542197,Ba4Ca4Tl3Cu6O19,https://materialsproject.org/materials/mp-542197,17.42216987556412,52.39391151721078,4.9000260655973875,37.153581309088494
-8.627152610416667,-207.05166265,5.047651180688324,-2.009776956953125,25.99999975,0.5918503162766346,0.24239999999999995,173,24,511.96336783135047,1556.2491672,mp-1191013,Gd3MnAlS7,https://materialsproject.org/materials/mp-1191013,6.7521600760045635,-4.745752571402199,11.622180041859806,3.373962152111743
-5.906660705833333,-141.75985694,5.008926194080375,-1.8494207509114584,1.0000078000000001,0.022367311213521254,0.0,173,24,521.0351643526947,1571.67439,mp-1192335,Nd3GaCoS7,https://materialsproject.org/materials/mp-1192335,7.139046754922206,1.044863932322655,12.341216308432694,5.893508644691369
-5.2431918556521735,-241.18682536,4.012140546619872,-0.5782004971217387,3.56042835,0.040128805019450216,0.0,136,46,1034.0069331455588,2498.3340000000007,mp-1245458,Sr11(GeN5)2,https://materialsproject.org/materials/mp-1245458,4.216776076282217,23.03665908952503,2.6272153979465145,25.0904992777842
-6.155136281428571,-86.17190794,4.774799653665936,-0.7014797438771428,1.79791,0.07420766908601956,0.0,176,14,282.35571677833843,811.9002,mp-1029750,Sr3RuN3,https://materialsproject.org/materials/mp-1029750,-4.106577620880397,21.08743505183604,4.9030663359450415,47.56109174225102
-7.2021941258333335,-345.70531804,6.471786778420143,-0.6119957346354165,1.0455228,0.01090939352297197,0.0,225,48,1116.8898075526213,4352.967629999999,mp-1203312,La21Mn8Sb7C12,https://materialsproject.org/materials/mp-1203312,-0.24445510134500725,26.272112774850093,-13.706308369726989,43.92277953557371
-2.878273559166667,-103.61784813,3.822273133450381,-1.1077735770210728,0.0,0.0,0.0,88,36,1341.7510414194767,3088.4784,mp-568477,Rb2SbBr6,https://materialsproject.org/materials/mp-568477,1.1778997431202791,19.56899093819065,-16.120126150677756,-9.06132989823761
-4.871314676,-24.35657338,6.885716259310322,-0.35041677143750005,5.0006695,0.5026348353734836,0.061599999999999426,119,5,115.94525917778864,480.787345,mp-1221565,MnTlCuSe2,https://materialsproject.org/materials/mp-1221565,-16.838228424336652,23.646737320547853,-17.051873540534686,42.04917013388655
-7.696907982857143,-215.51342352,7.610184227418109,-3.6847388678571433,0.0,0.0,3.2026,62,28,453.1353399554682,2076.7012,mp-18258,BaTb2O4,https://materialsproject.org/materials/mp-18258,-0.4534471890361702,23.8343669344665,-13.293812586570516,46.782910694909276
