energy_per_atom,energy,density,formation_energy_per_atom,total_magnetization_uB,total_magnetization_T,band_gap,sgr,num_sites,cell_volume,weight,mp_id,formula,URL,tsne_cry_lin1_0,tsne_cry_lin1_1,tsne_cry_lin2_0,tsne_cry_lin2_1
-5.451798765,-87.22878024,5.894777859296689,-2.060132158750001,0.0,0.0,0.0,123,16,246.21220434408215,874.0332000000002,mp-22601,Ba2Ca2Cu3HgO8,https://materialsproject.org/materials/mp-22601,-46.03468146181336,-1.4622730606023575,-8.604250342815693,-0.5045126942092143
-5.442348586122448,-266.67508072,5.989164022422831,-2.033646294464286,0.0232625,0.0003706464466534482,0.0,12,49,731.4320269881042,2638.099,mp-1228760,Ba6Ca6Cu9Hg3O25,https://materialsproject.org/materials/mp-1228760,-46.055843434945075,-1.5574146401486864,-8.604250342815693,-0.5045126942092143
-5.5106127125,-110.21225425,5.687938699646648,-2.069558555125,0.0002785,1.1011209187930645e-05,0.0,123,20,294.7593660027302,1009.656,mp-1228579,Ba2Ca3Cu4HgO10,https://materialsproject.org/materials/mp-1228579,-45.92441122838297,-1.336494476271881,-8.604250342815693,-0.5045126942092143
-5.3396436283333335,-64.07572354,6.158074508568789,-2.030289607291667,1.9e-06,1.1120621834113713e-07,0.0,123,12,199.1140729193597,738.4104000000002,mp-6879,Ba2CaCu2HgO6,https://materialsproject.org/materials/mp-6879,-46.189754807942656,-1.4939329132323822,-8.604250342815693,-0.5045126942092143
-5.338286025306123,-261.57601524,6.355861907165897,-2.010216470178572,0.0033531999999999998,5.0368416398397204e-05,0.0,12,49,775.8514718082481,2969.6409999999996,mp-1228371,Ba8Ca4Cu8Hg4O25,https://materialsproject.org/materials/mp-1228371,-46.20695622019537,-1.6386377135010717,-8.604250342815693,-0.5045126942092143
-5.42661103060606,-179.07816401,6.1284698048826005,-2.0096490126893936,0.11973339999999999,0.0029193147556164103,0.0,139,33,477.98230607174315,1764.0658,mp-1228265,Ba4Ca4Cu6Hg2O17,https://materialsproject.org/materials/mp-1228265,-46.09821511683563,-1.7894327077413823,-8.604250342815693,-0.5045126942092143
-5.338668143442623,-325.65875675,6.439178896275983,-2.0142803327254097,0.0013026,1.587538097849437e-05,0.0,2,61,956.2343601895712,3708.0514,mp-1229139,Ba10Ca5Cu10Hg5O31,https://materialsproject.org/materials/mp-1229139,-46.18535182252905,-1.6795805430784578,-8.604250342815693,-0.5045126942092143
-5.329573453783784,-197.19421779,6.406033824630541,-1.99543399570946,0.0004513999999999999,9.095669298818204e-06,0.0,12,37,578.3680854598526,2231.2306,mp-1228161,Ba6Ca3Cu6Hg3O19,https://materialsproject.org/materials/mp-1228161,-46.20162177706703,-1.6826776824228449,-8.604250342815693,-0.5045126942092143
-5.5575897742465745,-405.70405352,5.7265730187280965,-2.073303240325343,0.0541399,0.0006303626322795417,0.0,12,73,1000.9316369186403,3451.8358000000007,mp-1229082,Ba6Ca12Cu15Hg3O37,https://materialsproject.org/materials/mp-1229082,-45.89536512135904,-1.5169401594520169,-8.604250342815693,-0.5045126942092143
-5.5892640041176485,-475.08744035,5.539060143566188,-2.0831914238970586,0.0022960000000000003,2.313102157970344e-05,0.0,12,85,1156.7899249757265,3858.7042,mp-1229281,Ba6Ca15Cu18Hg3O43,https://materialsproject.org/materials/mp-1229281,-45.840590255869714,-1.3654850213085046,-8.604250342815693,-0.5045126942092143
-5.544607298181819,-243.96272112,4.923291838945592,-1.849999903267046,2.1018401,0.038204624493321904,0.0,139,44,641.152242479049,1900.9367,mp-1228570,Ba4Ca8Cu11CO20,https://materialsproject.org/materials/mp-1228570,-45.92193429556803,-1.1913037634619432,-8.604250342815693,-0.5045126942092143
-5.507597360909092,-121.16714194,4.974123807760371,-1.9294940867045447,2.27e-05,8.117381665616758e-07,0.0,123,22,325.9022197485952,976.2360000000001,mp-1214453,BaCa2Cu3O5,https://materialsproject.org/materials/mp-1214453,-45.87910538296999,-1.1359180960711488,-8.604250342815693,-0.5045126942092143
-5.534857503043479,-127.30172257,6.37093956422802,-1.9825043978260863,0.0,0.0,0.0,139,23,325.7594601541846,1249.8314,mp-556733,Ba2Ca3Tl2(CuO3)4,https://materialsproject.org/materials/mp-556733,-46.475455153250465,-2.0751232113252382,-8.604250342815693,-0.5045126942092143
-5.9801410459375,-191.36451347,5.761955668097626,-2.218438407031249,1.4999999999999999e-05,3.868780598541026e-07,0.0,26,32,451.8503108041825,1567.88934,mp-1218623,Sr3La(CuO2)4,https://materialsproject.org/materials/mp-1218623,-45.97690461381926,-1.2618412306179487,-8.604250342815693,-0.5045126942092143
-5.72716569875,-91.63465118,4.625902368423389,-2.088561336875,0.0,0.0,0.0,18,16,194.73558772133575,542.4911999999998,mp-554775,CaCuO2,https://materialsproject.org/materials/mp-554775,-45.82856235101963,-1.261246745607021,-8.604250342815693,-0.5045126942092143
-5.948453356666668,-71.38144028,4.483147860902804,-2.5111189039583337,2.4e-06,1.7522796427161243e-07,0.0,8,12,159.6192455377082,430.9424,mp-1218400,SrCa3(CuO3)2,https://materialsproject.org/materials/mp-1218400,-45.663843044098456,-1.4138224266066883,-8.604250342815693,-0.5045126942092143
-6.1036683324,-152.59170831,6.002375406414617,-2.2169319345500003,6.1e-06,1.9480094028947705e-07,0.0,8,25,364.9355850488897,1319.13814,mp-1228590,Ba3CaLa2Cu6O13,https://materialsproject.org/materials/mp-1228590,-47.251380296342155,-1.0363759059298183,-8.604250342815693,-0.5045126942092143
-5.892464635,-35.35478781,4.755646010658731,-2.481650301875,2.3e-06,3.208691071633309e-07,0.0,44,6,83.53670820433071,239.2422,mp-1218361,SrCaCuO3,https://materialsproject.org/materials/mp-1218361,-45.584909409062654,-0.9840033135491688,-8.604250342815693,-0.5045126942092143
-5.512541256363637,-303.18976910000003,6.518685265735017,-1.969709482613636,0.0938163,0.0013746746892308744,0.0,123,55,795.3454337139301,3122.2431,mp-680433,Ba6Ca6Tl5Cu9O29,https://materialsproject.org/materials/mp-680433,-46.535945072602814,-2.132931228862207,-8.604250342815693,-0.5045126942092143
-5.528091175,-409.07874695,6.52906163123588,-1.9874769651520272,0.033272300000000005,0.00035988162186356205,0.0,139,74,1077.4585746394243,4236.4517,mp-1204270,Ba8Ca8Tl7(Cu4O13)3,https://materialsproject.org/materials/mp-1204270,-46.55627376728396,-2.1412617218643626,-8.604250342815693,-0.5045126942092143
-5.638139889523809,-118.40093768,5.918988037244878,-2.0614371724404763,4.93e-05,1.98938119798054e-06,0.0,25,21,288.8060839573758,1029.4487,mp-1228589,Ba2Ca3TlCu4O11,https://materialsproject.org/materials/mp-1228589,-46.427936363610115,-2.059882861457083,-8.604250342815693,-0.5045126942092143
-6.066750310833334,-72.80100373,6.175013579886063,-2.209313916458333,0.1444426,0.008914626850457052,0.0,123,12,188.82937497609626,702.19605,mp-1214585,Ba2Pr(CuO2)3,https://materialsproject.org/materials/mp-1214585,-48.093644216422135,-1.7702122098610362,-8.604250342815693,-0.5045126942092143
-6.0821882658333335,-72.98625919,6.262487951027823,-2.2263006950000004,6e-07,3.7377543817096714e-08,0.0,123,12,187.07593248375596,705.5304,mp-614981,Ba2Nd(CuO2)3,https://materialsproject.org/materials/mp-614981,-47.53830325163021,-1.0276182625401609,-8.604250342815693,-0.5045126942092143
-5.698593924375,-91.17750279,4.758932207763639,-2.0997697418750003,0.00021845,1.1443489843029112e-05,0.0,38,16,222.46976092843536,637.5752,mp-1218417,SrCa(CuO2)2,https://materialsproject.org/materials/mp-1218417,-50.93551685652778,-0.22472266762791768,-8.604250342815693,-0.5045126942092143
-5.521831287826087,-127.00211962,6.214213818617921,-1.969478182608696,0.0,0.0,0.0,139,23,333.9752853208769,1249.8314,mp-556574,Ba2Ca3Tl2(CuO3)4,https://materialsproject.org/materials/mp-556574,-46.563033754761456,-2.2406768870927127,-8.604250342815693,-0.5045126942092143
-5.835638887352941,-198.41172217,4.97264965108307,-2.262757799632353,0.68833765,0.018205695559448183,0.0,46,34,440.62757900663627,1319.5032,mp-1209020,Sr2Ca2Ga(CuO3)3,https://materialsproject.org/materials/mp-1209020,-45.8303963480795,-1.5721432131903692,-8.604250342815693,-0.5045126942092143
-5.535589168055554,-199.28121005,6.4522132025520555,-1.9881990685069448,1.7e-06,3.833670630386599e-08,0.0,139,36,516.7869653777112,2008.0345,mp-542197,Ba4Ca4Tl3Cu6O19,https://materialsproject.org/materials/mp-542197,-46.562405580450786,-2.1613512780383077,-8.604250342815693,-0.5045126942092143
-6.1433793066666675,-73.72055168,5.998615968949426,-2.1456343543750003,0.0,0.0,0.0,25,12,179.9870072192019,650.19425,mp-1021507,Ba2Y(CuO2)3,https://materialsproject.org/materials/mp-1021507,-47.44207834051855,-0.8197894140988661,-8.604250342815693,-0.5045126942092143
-6.056964534,-151.42411335,6.306537125092887,-2.18476898775,3.2e-06,9.971516387295524e-08,0.0,69,25,373.9953465824433,1420.3915,mp-1228176,Ba4Pr2Cu6O13,https://materialsproject.org/materials/mp-1228176,-47.652361888863275,-0.9853504871676156,-8.604250342815693,-0.5045126942092143
-5.756699469375,-276.32157453,6.209424752448554,-2.1765782387500003,0.0007088999999999999,1.09463071620931e-05,0.0,12,48,754.7354916073659,2822.2602,mp-1218674,Sr8Pr4Cu9(HgO8)3,https://materialsproject.org/materials/mp-1218674,-45.426944871278344,-2.462229716400362,-8.604250342815693,-0.5045126942092143
-6.101129654583333,-292.85422342,5.830808213946644,-2.1964073971875,0.24230210000000002,0.003885458329790879,0.0,12,48,726.7622319550694,2551.94915,mp-1228323,Ba8CaY3(CuO2)12,https://materialsproject.org/materials/mp-1228323,-48.384606026332776,-2.115035311785233,-8.604250342815693,-0.5045126942092143
-5.850909899166666,-70.21091879,5.072756339289375,-2.466615685625,1.6e-06,1.08289109173278e-07,0.0,8,12,172.19186470782066,526.0264,mp-1218473,Sr3Ca(CuO3)2,https://materialsproject.org/materials/mp-1218473,-45.56801323754297,-0.8315003310169438,-8.604250342815693,-0.5045126942092143
-5.779972009148937,-271.65868443,5.27523348188006,-2.440679640664894,0.0,0.0,0.1737000000000002,2,47,717.1556038077904,2278.2742,mp-759634,Sr16Cu8O23,https://materialsproject.org/materials/mp-759634,-45.58086438748078,-0.8115192980476819,-8.604250342815693,-0.5045126942092143
-5.378719898181819,-59.16591888,3.895168229714244,-2.3224624760472725,0.0,0.0,0.0,139,11,162.94730692290204,382.2296,mp-23095,Ca3Cu2(ClO2)2,https://materialsproject.org/materials/mp-23095,-45.339688376017335,-3.3999049882262096,-8.604250342815693,-0.5045126942092143
-6.092702480833334,-73.11242977,6.3609441938078435,-2.2408771154166667,5.5e-06,3.450222751524305e-07,0.0,123,12,185.77744356001406,711.6484,mp-622576,Ba2Sm(CuO2)3,https://materialsproject.org/materials/mp-622576,-47.89476067270515,-1.8414003289904637,-8.604250342815693,-0.5045126942092143
-5.667249234615384,-73.67424005,7.2097161117766655,-2.074828909903846,0.6391956,0.037670609467834064,0.0,123,13,197.74638716944187,858.5738,mp-1214587,Ba2NdCu2HgO7,https://materialsproject.org/materials/mp-1214587,-47.674677993820545,-2.6305306248711218,-8.604250342815693,-0.5045126942092143
-5.7719720233333325,-173.15916069999997,6.266669651313671,-2.0935188596666667,0.00014125,3.4964850092487304e-06,0.0,37,30,470.79757092330635,1776.7320000000002,mp-1218930,Sr2CaCu2(BiO4)2,https://materialsproject.org/materials/mp-1218930,-45.995126297413215,-4.415104891438282,-8.604250342815693,-0.5045126942092143
