energy_per_atom,energy,density,formation_energy_per_atom,total_magnetization_uB,total_magnetization_T,band_gap,sgr,num_sites,cell_volume,weight,mp_id,formula,URL,tsne_xrd_lin1_0,tsne_xrd_lin1_1,tsne_xrd_lin2_0,tsne_xrd_lin2_1
-4.898759388999999,-48.98759389,5.598935124362283,-0.16142029800000018,2.99470705,0.11595160409165392,0.0,148,10,300.99204067892026,1014.8722,mp-541449,CrGeTe3,https://materialsproject.org/materials/mp-541449,-19.012662510376565,-35.16696330936101,20.170026979865586,-15.52949076428258
-6.851699205,-13.70339841,4.756480264159976,0.6377000968965518,8.485456300000001,0.9762442796512352,0.0,187,2,101.29642693553434,290.1554519,mp-1185562,CsGd,https://materialsproject.org/materials/mp-1185562,-19.07535741088951,-35.118675995263374,20.29100101305275,-15.613505505117393
-3.165075115,-31.65075115,4.013737155614245,-1.456755088474138,5e-08,1.4237895985436834e-09,1.5665000000000002,194,10,409.2621825752906,989.2395114,mp-1205638,Cs3BrO,https://materialsproject.org/materials/mp-1205638,-18.408493196506747,-35.412256098125994,-15.618716243874399,-29.780500654673773
-5.594184029615384,-145.44878477,5.190107753498488,-1.614130438942309,0.0,0.0,2.4606,190,26,542.4316640072436,1695.4005399999999,mp-28485,Sb5IO7,https://materialsproject.org/materials/mp-28485,-13.246282572706251,22.31142608077148,-17.798486212082157,37.58758518348096
-3.795955376666667,-113.87866129999999,4.299291005500422,-0.8653722707356323,2.999999766666667,0.029174373526624386,0.6301000000000001,185,30,1198.3870559033933,3102.73626,mp-672346,RbVI3,https://materialsproject.org/materials/mp-672346,-18.43347773551267,-35.31709709276811,-20.534369312429238,-7.7065235086512045
-7.649415195454545,-168.28713430000002,5.937214198649214,-2.6853406802233546,0.0,0.0,2.4847,26,22,357.8235546467102,1279.3888238000004,mp-562854,CsNb2BiO7,https://materialsproject.org/materials/mp-562854,7.772130562732454,-23.0682276089898,21.120865427132326,-18.369732042831302
-3.6884253166666663,-110.6527595,3.908629171556068,-0.9754974376000002,2.0000175833333333,0.019551846068274703,0.0,173,30,1192.1296015236962,2806.0722600000004,mp-640578,KTiI3,https://materialsproject.org/materials/mp-640578,8.475337547106504,18.461507746451822,17.84072410321177,-14.942059635652056
-6.18283425,-49.462674,6.999247910075809,-2.0841557190625,0.0,0.0,1.196699999999999,129,8,164.19792150346643,692.1017400000001,mp-546790,LaCuTeO,https://materialsproject.org/materials/mp-546790,-15.71739233724409,22.000515449942288,-16.189151639608607,40.624810130323894
-6.814850397916668,-163.55640955,4.684029793978211,-2.6350182997675007,5.00000135,0.1400386118201518,2.2105,113,24,416.10195101491786,1173.73569,mp-1192147,Ba2MnGe2O7,https://materialsproject.org/materials/mp-1192147,6.065180136153346,27.496859364322482,33.36615538302624,-6.266355223598648
-6.0502827944736834,-459.82149238,3.5084907717023532,-2.12412676383564,8.00000075,0.08627491741071518,0.004599999999999938,198,76,1080.6446383157804,2283.2536,mp-1209476,Rb2Fe2(SO4)3,https://materialsproject.org/materials/mp-1209476,4.615636201742598,27.770581382606718,20.93075386836001,-17.072755766316703
-6.570781396428571,-183.9818791,4.506892357384696,-2.2445076585714294,9.999999775,0.2526276758008566,1.7431,36,28,461.3138474792444,1252.0584,mp-19154,Ba(FeO2)2,https://materialsproject.org/materials/mp-19154,4.2449802206641225,19.83739025756811,-5.719484904394454,28.94185261252418
-6.410433418611111,-230.77560307,4.728756083144522,-2.1580097296875005,0.0,0.0,1.2715,14,36,553.4700219003863,1576.1296,mp-541090,Ce(SeO3)2,https://materialsproject.org/materials/mp-541090,7.081068102030076,20.83519457133114,34.84751719859459,1.6447618543650144
-8.273976475454544,-91.01374123,5.264223558778666,-3.2164159059051736,0.0,0.0,1.4415,123,11,179.67994274524548,569.6194819,mp-553248,CsLaNb2O7,https://materialsproject.org/materials/mp-553248,-11.32711504917765,-24.974697876087326,21.085692650617926,-18.36722300481259
-5.094410903529412,-86.60498536,7.30124281789308,-1.3783181811029417,0.0,0.0,0.8599999999999994,99,17,317.2509324390872,1394.9242,mp-557322,Bi4Te2Br2O9,https://materialsproject.org/materials/mp-557322,0.8222011549410493,27.43897836089529,-15.048117601165568,40.61429816902098
-8.248668813181819,-181.47071389,5.43701490537061,-3.2057896945415383,0.0,0.0,2.3882,26,22,351.19892833090387,1149.9120238,mp-554929,CsNdNb2O7,https://materialsproject.org/materials/mp-554929,-10.96219662276541,-24.55229648827309,21.5762015406175,-18.56464579210284
-8.290395895000001,-182.38870969,4.9689484177489085,-3.2218223785540765,0.0,0.0,1.9664,74,22,349.0087808504434,1044.36366,mp-553965,RbLaNb2O7,https://materialsproject.org/materials/mp-553965,-11.050849750082747,-24.39034304037761,21.63787199358623,-18.551442675838818
-4.8401015377777785,-43.56091384,4.125384543406011,-1.5386910309530646,0.0,0.0,1.8413,146,9,244.58168806638145,607.6301076000002,mp-562815,Cs4CO4,https://materialsproject.org/materials/mp-562815,7.839295619023037,-18.46139828402988,16.606356090789863,-13.085436800591712
-7.7982033982352945,-265.13891554,6.632314110201283,-2.735082704117648,0.0,0.0,3.9497,15,34,516.7641179476838,2063.9936,mp-17950,Nd2(WO4)3,https://materialsproject.org/materials/mp-17950,11.118341304019463,21.37176010009735,39.88895690536456,-4.625762688637498
-7.893284689705883,-268.37167945,6.507965727148513,-2.6926078005882355,2.0000001,0.04461510373193009,0.07899999999999974,15,34,522.4269083979451,2047.4896,mp-17686,Ce2(WO4)3,https://materialsproject.org/materials/mp-17686,11.187658762925482,21.235865543508073,39.84942911418288,-4.765523700115743
