energy_per_atom,energy,density,formation_energy_per_atom,total_magnetization,band_gap,sgr,num_sites,cell_volume,weight,mp_id,formula,URL,tsne_cry_0,tsne_cry_1,tsne_xrd_0,tsne_xrd_1
-6.92153530631579,-263.01834164,8.919187968952887,-0.06350362236842133,25.2135278,0.0,194,38,485.0199626868257,2605.16863,mp-1200096,Sm2Co17,https://materialsproject.org/materials/mp-1200096,72.7234837850983,41.276782297025434,85.61342168222473,-19.14624524252212
-7.922327966052633,-301.04846271,8.993305065660659,-0.07829002500000115,25.2539845,0.0,194,38,486.11146179544863,2632.72863,mp-1201816,Gd2Co17,https://materialsproject.org/materials/mp-1201816,72.60495632515524,41.32026937842733,85.6227464408676,-19.058617413078434
-6.921571765263157,-131.50986354,8.899644397896674,-0.06783511105263074,25.267236999999998,0.0,160,19,244.43196421482787,1310.030965,mp-1220026,PrErCo17,https://materialsproject.org/materials/mp-1220026,72.95281845140077,41.148989542928426,85.58158574193956,-20.008648414988834
-7.065492355000001,-268.48870949,8.763506832477272,-0.07925286868421129,23.13101785,0.0,194,38,485.87192885107135,2564.19263,mp-2216,Ce2Co17,https://materialsproject.org/materials/mp-2216,72.6720931445621,41.18665373481457,85.57687357236065,-19.224205897420827
-6.940065323157895,-263.72248228,9.059164497692887,-0.0913898936842103,25.30538565,0.0,194,38,483.8058310211241,2639.43003,mp-1199370,Tb2Co17,https://materialsproject.org/materials/mp-1199370,72.3318090172123,41.57471870121133,85.66157541493544,-18.867241843619336
-7.430555478421053,-141.18055409,8.873143204475975,-0.07952066592105211,18.2809942,0.0,160,19,245.05783033433795,1309.474315,mp-1219295,SmGdCo17,https://materialsproject.org/materials/mp-1219295,73.29400320674827,40.85486171306298,85.59445018406554,-20.09890567248529
-6.9416722397368416,-263.78354511,9.11326358252204,-0.0953147881578936,25.2781977,0.0,194,38,483.53917910725113,2653.72863,mp-569638,Dy2Co17,https://materialsproject.org/materials/mp-569638,72.18053866631844,41.72055030815381,85.66496058069187,-18.88196054379229
-6.32317849763158,-240.28078291,8.771553226999572,-0.06993519868421129,5.29842525,0.0,194,38,492.85453760490236,2603.4316,mp-1201182,Eu2Ni17,https://materialsproject.org/materials/mp-1201182,72.65471725460888,41.25258313302392,85.42032406666075,-19.46086236824184
-7.185846405526315,-273.06216341,8.666237015001057,-0.09596423499999973,18.14304385,0.0,164,38,488.26277400263467,2548.2092399999997,mp-1227655,Ce2VCo16,https://materialsproject.org/materials/mp-1227655,72.62930490448406,41.14231447451381,85.47810990234693,-19.45195658546155
-6.711070232894738,-255.02066885,8.892888223382387,-0.01725849105263116,26.1652365,0.0,194,38,491.39426523694016,2631.62393,mp-1215870,YbPrCo17,https://materialsproject.org/materials/mp-1215870,72.84184948369344,41.17712800909647,85.62297431899383,-19.202682812554013
-6.889661468421052,-261.8071358,8.695256093113553,-0.06187998578947354,21.77817065,0.0,164,38,491.44745226680743,2573.41824,mp-1227675,Ce2Co16Cu,https://materialsproject.org/materials/mp-1227675,72.80791069134038,41.04238186403417,85.46830749161062,-19.49610139900384
-5.8165023599999985,-221.02708968,8.826559620963108,-0.14489439657894745,0.00275865,0.0,194,38,483.9721548763556,2572.5436,mp-570596,Nd2Ni17,https://materialsproject.org/materials/mp-570596,72.48982759507358,41.38803123185947,85.57707077542509,-19.12683498985634
-6.913337915263157,-131.35342039,8.741127800513901,-0.051762423552630527,25.1811505,0.0,160,19,245.6543549938913,1293.131965,mp-1219785,PrSmCo17,https://materialsproject.org/materials/mp-1219785,73.60295139375125,40.64404396302212,85.58686120774074,-20.1820874115586
-6.811187623947369,-258.82512971,8.744194154746674,-0.031722103289473884,51.1687797,0.0,8,38,493.64837700888586,2599.49158,mp-1215883,YbPr3Co34,https://materialsproject.org/materials/mp-1215883,73.62724638609198,40.61585657832763,85.62160122039387,-20.322784538855746
-7.031451573684211,-133.5975799,8.454724467774021,-0.08126015065789416,25.34071,0.0,160,19,243.76253780470643,1241.130165,mp-1219047,SmYCo17,https://materialsproject.org/materials/mp-1219047,72.67766917389325,40.99774997177617,82.26181696447354,-19.732236641031772
-5.843046839473684,-222.03577990000002,8.969397974050366,-0.17657008289473713,6.90658525,0.0,194,38,480.79545625754247,2597.0156,mp-1203310,Sm2Ni17,https://materialsproject.org/materials/mp-1203310,72.14353396925918,41.87469010189122,85.60522888016496,-18.823879301779314
-7.104384627894738,-134.98330793,8.427933612175309,-0.0900893036842107,24.0333365,0.0,160,19,242.51905921822117,1230.8861650000001,mp-1226612,CeYCo17,https://materialsproject.org/materials/mp-1226612,72.60096956569555,40.94750770901912,82.11242219348925,-19.760853860992448
-6.9100930836842105,-131.29176859,8.660873739443463,-0.04693019289473754,25.3036463,0.0,166,19,247.3969505521741,1290.348315,mp-356,Nd2Co17,https://materialsproject.org/materials/mp-356,73.77446310971811,40.45945327293643,85.61609781542681,-20.352868566292056
-6.840154764473684,-259.92588105,9.140725967537046,-0.18767175078947373,7.224603999999999,0.0,194,38,476.79038434249617,2624.5756,mp-580102,Gd2Ni17,https://materialsproject.org/materials/mp-580102,72.06221817130948,41.99099611327614,85.62926653543855,-18.73974644674588
-6.944166909210527,-263.87834255,9.217538416523396,-0.10069178552631654,25.47748205,0.0,194,38,479.82035515156883,2663.4499100000003,mp-1023,Ho2Co17,https://materialsproject.org/materials/mp-1023,71.76244792693872,42.07201948445071,85.66392944347197,-18.773969366386858
